Loop: 1,,,,,,,,,,,,,,,,,,,
Level Me: 2.4.0.0,,,,,,,,,,,,,,,,,,,
Double Leveling: No,,,,,,,,,,,,,,,,,,,
Units: US survey feet,,,,,,,,,,,,,,,,,,,
Temperature Units: Celsius,,,,,,,,,,,,,,,,,,,
Elevation [sft]: 64.3700,,,,,,,,,,,,,,,,,,,
Leveling Distance [sft]: 323.827,,,,,,,,,,,,,,,,,,,
Slope (%): 24.015,,,,,,,,,,,,,,,,,,,
Number of Levels: 4,,,,,,,,,,,,,,,,,,,
Tolerance [sft]: 0.0040,,,,,,,,,,,,,,,,,,,
Total Error [sft]: -0.0003,,,,,,,,,,,,,,,,,,,
Expected Error [sft]: 0.0006,,,,,,,,,,,,,,,,,,,
Subloop Tolerance: 2.5,,,,,,,,,,,,,,,,,,,
Model: S7 1 DR Plus,,,,,,,,,,,,,,,,,,,
Serial number: 37251370,,,,,,,,,,,,,,,,,,,
EDM precision: 0.003281sft + 2ppm,,,,,,,,,,,,,,,,,,,
"Vertical Angle Precision: 1""",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Point name,AZ,DZ,Z,Adjust,Adj DZ,Adj Z,,,,,,,,,,,,,
RM2,-5.8309,,64.37,,,64.37,,,,,,,,,,,,,
tp1,-62.7049,-56.8741,7.4959,0.0001,-56.874,7.496,,,,,,,,,,,,,
tp1,-4.5224,,,,,7.496,,,,,,,,,,,,,
TP2,-5.1454,-0.623,6.8729,0.0002,-0.6229,6.8731,,,,,,,,,,,,,
TP2,-5.1116,,,,,6.8731,,,,,,,,,,,,,
TP1,-4.4883,0.6232,7.4962,0.0002,0.6233,7.4964,,,,,,,,,,,,,
TP1,-62.5156,,,,,7.4964,,,,,,,,,,,,,
rm2,-5.6451,56.8705,64.3667,0.0003,56.8706,64.367,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Point name,Target height,HA,VA,Slope distance,Elevation,,,,,,,,,,,,,,
RM2,5.5,101.7174,101.3298,15.8411,64.37,,,,,,,,,,,,,,
tp1,5.5,335.6464,131.354,120.9825,7.4959,,,,,,,,,,,,,,
tp1,5.5,262.7635,95.4528,13.6988,7.4959,,,,,,,,,,,,,,
TP2,5.5,244.1123,99.126,25.8323,6.8729,,,,,,,,,,,,,,
TP2,5.5,243.9787,99.0423,25.8222,6.8729,,,,,,,,,,,,,,
