Loop: 1,,,,,,,,,,,,,,,,,,,
Level Me: 2.4.0.0,,,,,,,,,,,,,,,,,,,
Double Leveling: No,,,,,,,,,,,,,,,,,,,
Units: US survey feet,,,,,,,,,,,,,,,,,,,
Temperature Units: Celsius,,,,,,,,,,,,,,,,,,,
Elevation [sft]: 18.2100,,,,,,,,,,,,,,,,,,,
Leveling Distance [sft]: 523.381,,,,,,,,,,,,,,,,,,,
Slope (%): 7.898,,,,,,,,,,,,,,,,,,,
Number of Levels: 4,,,,,,,,,,,,,,,,,,,
Tolerance [sft]: 0.0065,,,,,,,,,,,,,,,,,,,
Total Error [sft]: -0.0044,,,,,,,,,,,,,,,,,,,
Expected Error [sft]: 0.0010,,,,,,,,,,,,,,,,,,,
Subloop Tolerance: 2.5,,,,,,,,,,,,,,,,,,,
Model: S7 1 DR Plus,,,,,,,,,,,,,,,,,,,
Serial number: 37251370,,,,,,,,,,,,,,,,,,,
EDM precision: 0.003281sft + 2ppm,,,,,,,,,,,,,,,,,,,
"Vertical Angle Precision: 1""",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Point name,AZ,DZ,Z,Adjust,Adj DZ,Adj Z,,,,,,,,,,,,,
RM3,3.3773,,18.21,,,18.21,,,,,,,,,,,,,
TP1,-12.0471,-15.4244,2.7856,0.0004,-15.424,2.786,,,,,,,,,,,,,
TP1,-3.0452,,,,,2.786,,,,,,,,,,,,,
TP2,-5.7399,-2.6947,0.0909,0.0022,-2.6929,0.0931,,,,,,,,,,,,,
TP2,-5.6571,,,,,0.0931,,,,,,,,,,,,,
TP1,-2.9659,2.6912,2.7821,0.004,2.6929,2.786,,,,,,,,,,,,,
TP1,-11.5539,,,,,2.786,,,,,,,,,,,,,
RM3,3.8697,15.4235,18.2056,0.0044,15.424,18.21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Point name,DZ,Adjust,DZC,ZC,Error,,,,,,,,,,,,,
SubLoop1,,,,,,,,,,,,,,,,,,,
S,RM3,,,,18.21,,,,,,,,,,,,,,
P,TP1,-15.4244,0.0004,-15.424,2.786,,,,,,,,,,,,,,
E,RM3,15.4235,0.0044,15.424,18.21,-0.0009,,,,,,,,,,,,,
SubLoop2,,,,,,,,,,,,,,,,,,,
I,TP1,,,,2.786,,,,,,,,,,,,,,
,TP2,-2.6947,0.0022,-2.6929,0.0931,,,,,,,,,,,,,,
